Institute,Sector,Positive,Negative,Score,Final Score
Heering Consultancy Opleidingen B.V.,Sectorunit zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
Helicon Opleidingen,"Sectorunit voedsel, groen en gastvrijheid",2.0,13.0,0.4998779296875,Negative
Hoornbeeck College,Sectorunit handel,0.0,1.0,0.5,Positive
Hoornbeeck College,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
Hoornbeeck College,Sectorunit zakelijke dienstverlening en veiligheid,0.0,3.0,0.875,Positive
Hoornbeeck College,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
Hout- en Meubileringscollege,Sectorunit handel,0.0,2.0,0.75,Positive
Hout- en Meubileringscollege,Sectorunit techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
IBO,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
ID College,Sectorunit creatieve industrie en ICT,4.0,2.0,-0.25,Negative
ID College,Sectorunit handel,1.0,3.0,0.625,Positive
ID College,"Sectorunit mobiliteit, transport, logistiek, maritiem",1.0,0.0,0.25,Negative
ID College,"Sectorunit voedsel, groen en gastvrijheid",1.0,1.0,0.25,Negative
ID College,"Sectorunit zorg, welzijn en sport",1.0,5.0,0.71875,Positive
IMKO Opleidingen,"Sectorunit voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
IMKO Opleidingen,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
IPro Safety,Sectorunit zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
IVA Driebergen Business School,"Sectorunit mobiliteit, transport, logistiek, maritiem",1.0,1.0,0.25,Negative
Instituut Broers BV,Sectorunit creatieve industrie en ICT,1.0,0.0,0.25,Negative
Instituut Broers BV,Sectorunit zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
Instituut Broers BV,"Sectorunit zorg, welzijn en sport",1.0,0.0,0.25,Negative
Instituut Memo,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
Instituut Penso Garmes,"Sectorunit zorg, welzijn en sport",0.0,1.0,0.5,Positive
Internationaal Opleidingsinstituut Thomas,"Sectorunit zorg, welzijn en sport",0.0,2.0,0.75,Positive
KCL Kappers College Limburg BV,"Sectorunit voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
KOS Kappersopleidingen,"Sectorunit voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
Kappers Akademie Professioneel (KAP),"Sectorunit voedsel, groen en gastvrijheid",2.0,2.0,0.25,Negative
Kappersacademie Hair Point,"Sectorunit voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
Kappersacademie,"Sectorunit voedsel, groen en gastvrijheid",1.0,1.0,0.25,Negative
Kappersopleiding Doetinchem,"Sectorunit voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
Kappersschool van Wetten,"Sectorunit voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
ROC Koning Willem I,Sectorunit handel,0.0,1.0,0.5,Positive
ROC Koning Willem I,"Sectorunit mobiliteit, transport, logistiek, maritiem",0.0,2.0,0.75,Positive
ROC Koning Willem I,Sectorunit techniek en gebouwde omgeving,0.0,3.0,0.875,Positive
