Institute,Sector,Positive,Negative,Score,Final Score
IBO,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
ID College,Creatieve industrie en ICT,4.0,2.0,-0.25,Negative
ID College,Handel,1.0,3.0,0.625,Positive
ID College," Mobiliteit, transport, logistiek, maritiem",1.0,0.0,0.25,Negative
ID College,"Voedsel, groen en gastvrijheid",1.0,1.0,0.25,Negative
ID College,"Zorg, welzijn en sport",1.0,5.0,0.71875,Positive
IMKO Opleidingen,"Voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
IMKO Opleidingen,"Zorg, welzijn en sport",0.0,1.0,0.5,Positive
IPro Safety,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
IVA Driebergen Business School," Mobiliteit, transport, logistiek, maritiem",1.0,1.0,0.25,Negative
Instituut Broers BV,Creatieve industrie en ICT,1.0,0.0,0.25,Negative
Instituut Broers BV,Zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
Instituut Broers BV,"Zorg, welzijn en sport",1.0,0.0,0.25,Negative
Instituut Memo,"Zorg, welzijn en sport",0.0,1.0,0.5,Positive
Instituut Penso Garmes,"Zorg, welzijn en sport",0.0,1.0,0.5,Positive
Internationaal Opleidingsinstituut Thomas,"Zorg, welzijn en sport",0.0,2.0,0.75,Positive
KCL Kappers College Limburg BV,"Voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
KOS Kappersopleidingen,"Voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
Kappers Akademie Professioneel (KAP),"Voedsel, groen en gastvrijheid",2.0,2.0,0.25,Negative
Kappersacademie Hair Point,"Voedsel, groen en gastvrijheid",0.0,1.0,0.5,Positive
Kappersacademie,"Voedsel, groen en gastvrijheid",1.0,1.0,0.25,Negative
Kappersopleiding Doetinchem,"Voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
Kappersschool van Wetten,"Voedsel, groen en gastvrijheid",0.0,2.0,0.75,Positive
ROC Koning Willem I,Handel,0.0,1.0,0.5,Positive
ROC Koning Willem I," Mobiliteit, transport, logistiek, maritiem",0.0,2.0,0.75,Positive
ROC Koning Willem I,Techniek en gebouwde omgeving,0.0,3.0,0.875,Positive
ROC Koning Willem I,Zakelijke dienstverlening en veiligheid,1.0,5.0,0.71875,Positive
ROC Koning Willem I,"Zorg, welzijn en sport",0.0,2.0,0.75,Positive
Kuva Opleidingen,Zakelijke dienstverlening en veiligheid,0.0,2.0,0.75,Positive
Landsted,Creatieve industrie en ICT,1.0,7.0,0.7421875,Positive
Landsted,Handel,0.0,6.0,0.984375,Positive
Landsted," Mobiliteit, transport, logistiek, maritiem",0.0,2.0,0.75,Positive
Landsted,Techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
Landsted,"Voedsel, groen en gastvrijheid",3.0,3.0,0.125,Negative
Landsted,Zakelijke dienstverlening en veiligheid,0.0,4.0,0.9375,Positive
Landsted,"Zorg, welzijn en sport",2.0,9.0,0.498046875,Negative
Laurentius College B.V.," Mobiliteit, transport, logistiek, maritiem",0.0,1.0,0.5,Positive
Leidse Instrumentmakers School,Techniek en gebouwde omgeving,2.0,0.0,0.0,Negative
Lentiz,"Voedsel, groen en gastvrijheid",0.0,4.0,0.9375,Positive
M & M Opleidingen,Zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
MBO Amersfoort,Handel,3.0,4.0,0.1875,Negative
MBO Amersfoort," Mobiliteit, transport, logistiek, maritiem",0.0,2.0,0.75,Positive
MBO Amersfoort,Zakelijke dienstverlening en veiligheid,0.0,1.0,0.5,Positive
MBO Amersfoort,"Zorg, welzijn en sport",2.0,5.0,0.46875,Negative
MBO Amersfoort,Specialistisch vakmanschap ,2.0,0.0,0.0,Negative
MBO Utrecht,Creatieve industrie en ICT,5.0,1.0,-0.75,Negative
MBO Utrecht,Handel,1.0,0.0,0.25,Negative
MBO Utrecht,Zakelijke dienstverlening en veiligheid,1.0,4.0,0.6875,Positive
MBO Utrecht,"Zorg, welzijn en sport",5.0,1.0,-0.75,Negative
Marlijn Academie,Techniek en gebouwde omgeving,0.0,2.0,0.75,Positive
Mediacollege Amsterdam,Creatieve industrie en ICT,3.0,7.0,0.2421875,Negative
Motivation Beveiligingsopleidingen en adviezen,Zakelijke dienstverlening en veiligheid,1.0,0.0,0.25,Negative
NCOI Opleidingsgroep b.v.,Creatieve industrie en ICT,2.0,0.0,0.0,Negative
NCOI Opleidingsgroep b.v.," Mobiliteit, transport, logistiek, maritiem",7.0,0.0,-1.25,Negative
NCOI Opleidingsgroep b.v.,Techniek en gebouwde omgeving,2.0,0.0,0.0,Negative
NCOI Opleidingsgroep b.v.,"Voedsel, groen en gastvrijheid",2.0,0.0,0.0,Negative
NCOI Opleidingsgroep b.v.,Zakelijke dienstverlening en veiligheid,2.0,0.0,0.0,Negative
NCOI Opleidingsgroep b.v.,"Zorg, welzijn en sport",2.0,0.0,0.0,Negative
