college,lat,lon,BRIN
ROC Albeda College, 51.9142, 4.4564, 00GT
ROC Alfa-college, 53.2067, 6.5897, 25LU
ALL INN Kapperscollege, 52.6345, 4.7414, 24JT
AOC Aeres, 52.0184, 5.6636, 25GV
AOC Oost, 52.164403, 6.404312, 01IC
ROC Arcus College, 50.8800, 5.9577, 25PU
ARD International BV (Guard Group), 52.252454, 6.154455, 30ER
ASOP, 52.396154, 4.854043, 25WV
ROC Aventus, 52.208001, 5.971087, 27DV
BBO De Schalm, 51.684225, 5.284578, 24ZW
Bouman Opleidingen B.V., 52.233213, 5.164485, 28CM
Breederzorg opleidingen, 51.646872, 5.624316, 31BH
Business School Notenboom, 51.440399, 5.450613, 24GE
Capabel Onderwijs Groep, 52.064343, 5.103690, 27RC
CIBAP, 52.5210, 6.0889, 02PN
CITAVERDE College, 50.8577, 5.7167, 21CS
Clusius College, 52.6407, 4.7531, 25EF
ROC Da Vinci College, 51.798641, 4.680608, 20MQ
AOC De Groene Welle, 52.5038, 6.0838, 13US
ROC Deltion College, 52.5213, 6.0853, 25PJ
Dirksen Opleidingen, 51.9141, 5.8656, 
ROC Drenthe College, 52.7782, 6.9153, 25PW
Edin B.V., 52.065954, 5.372355
Edudelta Onderwijsgroep, 51.496338, 3.891337, 11UL
Essenzo, 52.014757, 4.707248
Europort Business School, 51.9233, 4.4644
Europrof, 51.547727, 5.163698
ROC Friesland College, 53.189901, 5.782692, 25LG
ROC Gilde Opleidingen, 51.192199, 6.016279, 25LT
GO-College,51.692366, 4.221126
ROC Graafschap College, 51.967745, 6.298464, 24ZZ 
Grafisch Lyceum Rotterdam, 51.9276, 4.4781, 23JA
Grafisch Lyceum Utrecht, 52.0771, 5.1063, 23KG
Haarinstituut Le Marquis, 51.505432, 4.294953 
Hair Kappersopleiding, 52.0989, 5.1003
Heads Academy, 52.010697, 4.362048
Heering Consultancy Opleidingen B.V., 52.142798, 5.476841
Helicon Opleidingen, 51.691631, 5.277809, 26CC
Hoornbeeck College, 52.138036, 5.351942, 09MR
Hout- en Meubileringscollege, 51.9479, 4.4671
IBO, 52.306016, 4.950846
ID College, 52.026780, 4.715258, 25LN 
